record_id,visit_date,month,week_number,quarter,season,city,store_type,retailer_id,salesperson_name,consumer_demographic,product_category,retailer_feedback,trend_signal_type,trend_label
CTR-0011,2025-09-11,9,37,Q3,Monsoon,Kolkata,Departmental Store,RTL-0020,Rekha Pillai,teenagers,makhana,"Store owner frustrated, said competitor launched chili-lime flavor 2 months ago and it flies.",flavor_trend,rising_spicy_flavor_preference
CTR-0012,2025-09-20,9,38,Q3,Monsoon,Bhopal,Departmental Store,RTL-0039,Sunita Verma,office-goers,namkeen,Evening crowd near engineering college - 80% ask for spicy. Owner confirmed same pattern.,flavor_trend,rising_spicy_flavor_preference
CTR-0013,2025-08-04,8,32,Q3,Monsoon,Kochi,Kirana Store,RTL-0012,Deepa Nair,teenagers,roasted nuts,"Customers rejecting regular salt flavor. Want something that has a strong punch, owner said.",flavor_trend,rising_spicy_flavor_preference
CTR-0014,2025-06-24,6,26,Q2,Monsoon,Mumbai,Departmental Store,RTL-0003,Arjun Mehta,college students,wafers,"Asked retailer what's trending this month - first thing he said was spicy, without thinking.",flavor_trend,rising_spicy_flavor_preference
CTR-0015,2025-02-05,2,6,Q1,Winter,Nagpur,Departmental Store,RTL-0048,Meena Reddy,urban youth,roasted nuts,Owner told me he reorders spicy variants 3 times a month now. Mild only once.,flavor_trend,rising_spicy_flavor_preference
CTR-0016,2025-11-28,11,48,Q4,Post-Festive,Delhi,Supermarket,RTL-0062,Ravi Kumar,young professionals,popcorn,Customer in store asked me directly if we have anything hotter than what's on shelf.,flavor_trend,rising_spicy_flavor_preference
CTR-0017,2025-01-12,1,2,Q1,Winter,Patna,Petrol-pump Store,RTL-0029,Kavita Joshi,office-goers,wafers,Retailer said chili chips now outselling cream biscuits in his store for first time.,flavor_trend,rising_spicy_flavor_preference
CTR-0018,2025-01-31,1,5,Q1,Winter,Coimbatore,Departmental Store,RTL-0018,Deepa Nair,young professionals,roasted nuts,Owner near medical college said even non-spice people now buying spicy due to peer pressure.,flavor_trend,rising_spicy_flavor_preference
CTR-0019,2026-04-15,4,16,Q2,Post-Festive,Pune,Convenience Store,RTL-0089,Suresh Patel,young professionals,bhujia,Festival season but spicy still outselling sweet. Retailer surprised himself.,flavor_trend,rising_spicy_flavor_preference
CTR-0020,2025-05-23,5,21,Q2,Summer,Indore,Wholesale Depot,RTL-0006,Harish Babu,college students,makhana,Checked 5 stores in this route - all saying same thing. Spicy demand is real here.,flavor_trend,rising_spicy_flavor_preference
CTR-0021,2026-05-21,5,21,Q2,Summer,Chennai,Hypermarket,RTL-0054,Priya Sharma,office-goers,bhujia,Owner near IT park said employees snacking spicy at desk. Ordered extra hot stock for me.,flavor_trend,rising_spicy_flavor_preference
CTR-0022,2025-03-19,3,12,Q1,Holi,Nagpur,Kirana Store,RTL-0037,Vikram Iyer,office-goers,biscuits,Retailer said he ran out of schezwan puffs in one afternoon. Never happened before.,flavor_trend,rising_spicy_flavor_preference
CTR-0023,2025-04-04,4,14,Q2,Post-Festive,Ahmedabad,Wholesale Depot,RTL-0064,Arjun Mehta,teenagers,rice crisps,Two customers argued in shop over last spicy pack. Owner said this is daily now.,flavor_trend,rising_spicy_flavor_preference
CTR-0024,2025-07-09,7,28,Q3,Monsoon,Jaipur,Kirana Store,RTL-0083,Naresh Yadav,young professionals,makhana,Competitor rep visited same retailer last week. Left samples of extra hot variant. Owner liked it.,flavor_trend,rising_spicy_flavor_preference
CTR-0025,2026-05-02,5,18,Q2,Summer,Bhubaneswar,Kirana Store,RTL-0075,Rekha Pillai,urban youth,makhana,Student asked retailer why we don't make a super hot version. Said he'd buy it every day.,flavor_trend,rising_spicy_flavor_preference
CTR-0026,2025-07-24,7,30,Q3,Monsoon,Bhubaneswar,Medical Store,RTL-0073,Kavita Joshi,college students,bhujia,Owner switched prime shelf position to spicy variants. Said mild doesn't justify the space.,flavor_trend,rising_spicy_flavor_preference
CTR-0027,2025-02-04,2,6,Q1,Winter,Surat,Petrol-pump Store,RTL-0041,Suresh Patel,college students,puffs,"Retailer near coaching institute said during exam stress, students eat more spicy snacks.",flavor_trend,rising_spicy_flavor_preference
CTR-0028,2025-01-27,1,5,Q1,Winter,Pune,Supermarket,RTL-0045,Meena Reddy,office-goers,rice crisps,Owner told me spicy flavor sells even in winter here. Not a seasonal thing anymore.,flavor_trend,rising_spicy_flavor_preference
CTR-0029,2026-05-01,5,18,Q2,Summer,Bangalore,Kirana Store,RTL-0024,Priya Sharma,college students,namkeen,Customer came back same day to buy second pack of spicy. Said couldn't stop eating it.,flavor_trend,rising_spicy_flavor_preference
CTR-0030,2025-11-11,11,46,Q4,Diwali,Nagpur,Supermarket,RTL-0069,Sunita Verma,urban youth,puffs,Retailer doing a hand-sell - showing spicy to every customer. Said it closes faster.,flavor_trend,rising_spicy_flavor_preference
CTR-0031,2025-08-31,8,35,Q3,Onam,Surat,College Canteen,RTL-0059,Arjun Mehta,teenagers,wafers,Owner near dhaba row said their customers have high spice tolerance. Need stronger variants.,flavor_trend,rising_spicy_flavor_preference
CTR-0032,2025-06-09,6,24,Q2,Monsoon,Bangalore,Wholesale Depot,RTL-0024,Priya Sharma,college students,roasted nuts,"I saw customer pick up mild, read label, put it back. Picked spicy without even checking price.",flavor_trend,rising_spicy_flavor_preference
CTR-0033,2025-09-03,9,36,Q3,Onam,Delhi,College Canteen,RTL-0071,Amit Singh,teenagers,popcorn,"Retailer said if we don't launch extra hot soon, he'll give that shelf to competitor.",flavor_trend,rising_spicy_flavor_preference
CTR-0034,2025-03-17,3,12,Q1,Holi,Kolkata,Convenience Store,RTL-0020,Rekha Pillai,urban youth,wafers,Owner told me three new spicy snack brands entered his market this quarter. Demand is real.,flavor_trend,rising_spicy_flavor_preference
CTR-0035,2025-12-23,12,52,Q4,Post-Festive,Vizag,Hypermarket,RTL-0033,Anjali Rao,college students,namkeen,Evening sales completely driven by college crowd. Without them shop would be empty after 5pm.,demographic_preference,youth_driven_consumption
CTR-0036,2025-09-30,9,40,Q3,Monsoon,Jaipur,College Canteen,RTL-0022,Ravi Kumar,school children,puffs,Owner said school reopened and snack sales tripled same week. Youth is the volume driver.,demographic_preference,youth_driven_consumption
CTR-0037,2026-02-17,2,8,Q1,Winter,Vizag,Departmental Store,RTL-0034,Anjali Rao,school children,puffs,Teenagers buying 2-3 small packs at a time and sharing. Group snacking behavior clear.,demographic_preference,youth_driven_consumption
CTR-0038,2025-07-02,7,27,Q3,Monsoon,Ahmedabad,Convenience Store,RTL-0032,Suresh Patel,urban youth,roasted nuts,"Retailer near college said morning sales nothing, evening is chaotic. All students.",demographic_preference,youth_driven_consumption
CTR-0039,2025-12-21,12,51,Q4,Post-Festive,Hyderabad,Wholesale Depot,RTL-0055,Priya Sharma,college students,puffs,Kids deciding what to buy based on phone - saw something on reel and came looking for it.,demographic_preference,youth_driven_consumption
CTR-0040,2025-04-23,4,17,Q2,Post-Festive,Bhubaneswar,College Canteen,RTL-0074,Kavita Joshi,school children,namkeen,Owner told me boards exam over and now youth foot traffic doubled in one week.,demographic_preference,youth_driven_consumption
CTR-0041,2025-09-05,9,36,Q3,Onam,Bangalore,Convenience Store,RTL-0077,Deepa Nair,teenagers,puffs,Students comparing pack sizes and prices loudly in store. Very price-value conscious.,demographic_preference,youth_driven_consumption
CTR-0042,2026-03-04,3,10,Q1,Holi,Bhubaneswar,College Canteen,RTL-0076,Rekha Pillai,college students,namkeen,Pocket money buyers - rupees 10 max per purchase but come every day. Volume adds up.,demand_shift,small_pack_affordability_preference
CTR-0043,2025-08-11,8,33,Q3,Monsoon,Bangalore,Wholesale Depot,RTL-0023,Priya Sharma,urban youth,biscuits,Retailer near coaching center says snacks sell more than water bottles during exam season.,demographic_preference,youth_driven_consumption
CTR-0044,2026-01-07,1,2,Q1,Winter,Bhopal,Wholesale Depot,RTL-0082,Harish Babu,college students,namkeen,Owner complained brands don't launch enough variety - youth gets bored fast and switches.,demographic_preference,youth_driven_consumption
CTR-0045,2026-04-09,4,15,Q2,Post-Festive,Kolkata,General Store,RTL-0014,Kavita Joshi,teenagers,rice crisps,College canteen nearby owner said students skip meals but never skip snacking.,demographic_preference,youth_driven_consumption
CTR-0046,2025-03-21,3,12,Q1,Holi,Coimbatore,Departmental Store,RTL-0018,Deepa Nair,teenagers,wafers,I saw 4 students walk in together - each bought different flavor to share and taste.,demographic_preference,youth_driven_consumption
CTR-0047,2025-09-27,9,39,Q3,Monsoon,Vizag,General Store,RTL-0033,Anjali Rao,teenagers,namkeen,Retailer said trend changes every 2 weeks with these young customers. Hard to predict stock.,demographic_preference,youth_driven_consumption
CTR-0048,2025-04-19,4,16,Q2,Post-Festive,Chennai,Convenience Store,RTL-0066,Anjali Rao,urban youth,popcorn,Youth near bus stand buying during commute - on-the-go snacking is their lifestyle.,demographic_preference,youth_driven_consumption
CTR-0049,2025-08-03,8,31,Q3,Monsoon,Lucknow,College Canteen,RTL-0080,Amit Singh,teenagers,makhana,"Owner said since new PG accommodations opened, evening sales up 40%. Pure youth demand.",demographic_preference,youth_driven_consumption
CTR-0050,2026-02-22,2,8,Q1,Winter,Chennai,Wholesale Depot,RTL-0054,Priya Sharma,college students,rice crisps,Students requesting brands they saw advertised during cricket matches. Very media influenced.,demographic_preference,youth_driven_consumption
CTR-0051,2025-09-26,9,39,Q3,Monsoon,Chandigarh,Kirana Store,RTL-0010,Rajesh Gupta,urban youth,biscuits,Retailer told me lunch box culture dying. Students prefer buying snacks at shop.,demographic_preference,youth_driven_consumption
CTR-0052,2026-02-02,2,6,Q1,Winter,Chandigarh,Kirana Store,RTL-0051,Ravi Kumar,college students,chips,Weekend peak is youth - retailer keeps extra stock of small packs only for Saturday-Sunday.,demographic_preference,youth_driven_consumption
CTR-0053,2025-10-12,10,41,Q4,Festive,Chennai,Wholesale Depot,RTL-0066,Anjali Rao,teenagers,namkeen,College students asking if we have new launches - they want to try new things constantly.,demographic_preference,youth_driven_consumption
CTR-0054,2026-02-06,2,6,Q1,Winter,Mumbai,Medical Store,RTL-0007,Vikram Iyer,school children,roasted nuts,Owner near school said children's influence on parent buying is huge. Kids decide brand.,demographic_preference,youth_driven_consumption
CTR-0055,2026-01-31,1,5,Q1,Winter,Bangalore,Convenience Store,RTL-0078,Deepa Nair,college students,chips,"Retailer said afternoon shift is entirely teenagers. Morning is adults, evening is mixed.",demographic_preference,youth_driven_consumption
CTR-0056,2025-08-15,8,33,Q3,Monsoon,Bangalore,General Store,RTL-0024,Priya Sharma,urban youth,namkeen,"Owner near junior college said students come in groups of 5-6. One buys, all taste.",demographic_preference,youth_driven_consumption
CTR-0057,2026-02-18,2,8,Q1,Winter,Bhopal,Wholesale Depot,RTL-0040,Sunita Verma,teenagers,makhana,Hostel warden told retailer to stock more snacks. Students asking him directly.,demographic_preference,youth_driven_consumption
CTR-0058,2026-04-03,4,14,Q2,Post-Festive,Indore,Hypermarket,RTL-0005,Harish Babu,teenagers,makhana,Retailer said youth doesn't care about health claims. Just wants taste and price.,demographic_preference,youth_driven_consumption
CTR-0059,2025-08-15,8,33,Q3,Monsoon,Pune,Petrol-pump Store,RTL-0045,Meena Reddy,urban youth,bhujia,Owner told me youth customer base doubled after new bus route started near college.,demographic_preference,youth_driven_consumption
CTR-0060,2025-12-09,12,50,Q4,Post-Festive,Bhopal,Petrol-pump Store,RTL-0040,Sunita Verma,college students,puffs,Students buying snacks between two classes. 15 minute break drives big purchase spike.,demographic_preference,youth_driven_consumption
CTR-0061,2026-03-29,3,13,Q1,Ramadan,Lucknow,College Canteen,RTL-0050,Naresh Yadav,college students,popcorn,Retailer near gaming cafe said youth snacking culture very strong there. Constant demand.,demographic_preference,youth_driven_consumption
CTR-0062,2025-03-25,3,13,Q1,Holi,Chennai,Supermarket,RTL-0066,Anjali Rao,urban youth,roasted nuts,Owner confirmed youth is driving impulse buying. They don't plan - they just see and buy.,demographic_preference,youth_driven_consumption
CTR-0063,2025-08-04,8,32,Q3,Monsoon,Ahmedabad,Medical Store,RTL-0063,Arjun Mehta,teenagers,wafers,College festival season - retailer said he sold 3x his normal volume in one week.,demographic_preference,youth_driven_consumption
CTR-0064,2025-01-10,1,2,Q1,Winter,Pune,Supermarket,RTL-0027,Vikram Iyer,school children,wafers,Kids coming after tuition classes. 6pm to 8pm is pure youth rush at this store.,demographic_preference,youth_driven_consumption
CTR-0065,2025-09-22,9,39,Q3,Monsoon,Bhopal,General Store,RTL-0081,Harish Babu,urban youth,wafers,Retailer said school children are the most loyal - same brand every single day.,demographic_preference,youth_driven_consumption
CTR-0066,2026-05-13,5,20,Q2,Summer,Bhubaneswar,Supermarket,RTL-0075,Rekha Pillai,school children,puffs,"Owner told me teens buying for their gang. One person decides, whole group follows.",demographic_preference,youth_driven_consumption
CTR-0067,2025-05-19,5,21,Q2,Summer,Bangalore,Hypermarket,RTL-0078,Deepa Nair,college students,biscuits,Students asking for combo offers. Two packs for price of one type deals very popular.,demographic_preference,youth_driven_consumption
CTR-0068,2026-04-16,4,16,Q2,Post-Festive,Chennai,Petrol-pump Store,RTL-0053,Priya Sharma,urban youth,makhana,"Retailer said after semester exams finished, youth snacking increased dramatically.",demographic_preference,youth_driven_consumption
CTR-0069,2026-02-14,2,7,Q1,Winter,Chandigarh,Supermarket,RTL-0002,Amit Singh,teenagers,chips,"Customers asking for schezwan flavor namkeen. Said competitor has it, why don't we.",flavor_trend,fusion_flavor_adoption
CTR-0070,2026-02-15,2,7,Q1,Winter,Kolkata,Hypermarket,RTL-0014,Kavita Joshi,teenagers,namkeen,Retailer told me peri-peri and manchurian flavors selling well with young crowd.,flavor_trend,fusion_flavor_adoption
CTR-0071,2026-03-18,3,12,Q1,Holi,Jaipur,Convenience Store,RTL-0083,Naresh Yadav,college students,popcorn,"Owner near food court said customers eating fusion food there, now want same in snacks.",flavor_trend,fusion_flavor_adoption
CTR-0072,2026-04-20,4,17,Q2,Post-Festive,Bangalore,College Canteen,RTL-0078,Deepa Nair,teenagers,bhujia,Students asking for Indo-Chinese flavor chips - said they saw it in a food reel.,flavor_trend,fusion_flavor_adoption
CTR-0073,2026-04-26,4,17,Q2,Summer,Jaipur,Medical Store,RTL-0021,Ravi Kumar,working professionals,puffs,Masala popcorn with pizza seasoning is new ask this month. Retailer confirmed 5-6 requests.,flavor_trend,fusion_flavor_adoption
CTR-0074,2026-04-23,4,17,Q2,Post-Festive,Bangalore,General Store,RTL-0023,Priya Sharma,working professionals,puffs,Customers want Thai chili flavor. Said they tried it somewhere and liked it a lot.,flavor_trend,fusion_flavor_adoption
CTR-0075,2025-09-14,9,37,Q3,Monsoon,Lucknow,Convenience Store,RTL-0086,Rajesh Gupta,urban youth,roasted nuts,Owner told me regular masala not exciting enough. People want unusual flavor combinations.,flavor_trend,fusion_flavor_adoption
CTR-0076,2025-01-08,1,2,Q1,Winter,Kolkata,General Store,RTL-0019,Rekha Pillai,urban youth,chips,I heard customer ask retailer for biryani-flavored chips. Retailer had no idea what to say.,flavor_trend,fusion_flavor_adoption
CTR-0077,2025-02-24,2,9,Q1,Winter,Hyderabad,Wholesale Depot,RTL-0035,Anjali Rao,working professionals,roasted nuts,Korean BBQ and wasabi flavor requests coming from young customers who travel or eat out.,flavor_trend,fusion_flavor_adoption
CTR-0078,2025-12-19,12,51,Q4,Post-Festive,Kochi,Petrol-pump Store,RTL-0012,Deepa Nair,teenagers,popcorn,Retailer said taco bell opened nearby and now customers want Mexican-spiced snacks.,flavor_trend,fusion_flavor_adoption
CTR-0079,2025-07-27,7,30,Q3,Monsoon,Pune,Convenience Store,RTL-0089,Suresh Patel,working professionals,biscuits,Fusion bhujia - someone wants it masala with a western twist. Strange but real request.,flavor_trend,fusion_flavor_adoption
CTR-0080,2025-08-09,8,32,Q3,Monsoon,Nagpur,General Store,RTL-0047,Meena Reddy,college students,popcorn,Owner near multiplex said movie snacks changed customer expectations for flavor.,flavor_trend,fusion_flavor_adoption
CTR-0081,2025-12-10,12,50,Q4,Post-Festive,Kolkata,Petrol-pump Store,RTL-0014,Kavita Joshi,college students,makhana,Working professionals asking for office-friendly fusion flavors. Not too messy or strong.,flavor_trend,fusion_flavor_adoption
CTR-0082,2025-03-22,3,12,Q1,Holi,Lucknow,General Store,RTL-0079,Amit Singh,working professionals,biscuits,Customer showed retailer a social media post of a fusion snack brand - asked if we have it.,flavor_trend,fusion_flavor_adoption
CTR-0083,2026-05-13,5,20,Q2,Summer,Jaipur,Hypermarket,RTL-0084,Naresh Yadav,teenagers,wafers,Retailer said normal salt-and-pepper chips not moving. Fusion flavors going fast.,flavor_trend,fusion_flavor_adoption
CTR-0084,2025-04-22,4,17,Q2,Post-Festive,Vizag,General Store,RTL-0034,Anjali Rao,urban youth,popcorn,MasterChef inspired requests - customers naming specific cuisines and asking for that flavor.,flavor_trend,fusion_flavor_adoption
CTR-0085,2025-09-01,9,36,Q3,Onam,Nagpur,College Canteen,RTL-0038,Vikram Iyer,working professionals,namkeen,Owner told me this area has many foodies. They explore a lot and want snacks to match.,flavor_trend,fusion_flavor_adoption
CTR-0086,2025-02-16,2,7,Q1,Winter,Jaipur,Medical Store,RTL-0022,Ravi Kumar,working professionals,chips,Customers want authentic flavor experiences in affordable snack format. Not just masala.,flavor_trend,fusion_flavor_adoption
CTR-0087,2025-07-21,7,30,Q3,Monsoon,Jaipur,Petrol-pump Store,RTL-0084,Naresh Yadav,college students,chips,Retailer confirmed Indo-Chinese is top flavor request this quarter consistently.,flavor_trend,fusion_flavor_adoption
CTR-0088,2026-05-06,5,19,Q2,Summer,Hyderabad,Convenience Store,RTL-0055,Priya Sharma,urban youth,rice crisps,Young customers want something that sounds exciting on the pack. Fusion names attract them.,flavor_trend,fusion_flavor_adoption
CTR-0089,2026-01-04,1,1,Q1,New Year,Chandigarh,Petrol-pump Store,RTL-0009,Rajesh Gupta,working professionals,wafers,Owner told me sriracha and miso flavor requests coming from customers who cook at home.,flavor_trend,fusion_flavor_adoption
CTR-0090,2025-01-23,1,4,Q1,Winter,Indore,Departmental Store,RTL-0043,Sunita Verma,working professionals,biscuits,Retailer near cloud kitchen hub said food delivery culture changed snack expectations.,flavor_trend,fusion_flavor_adoption
CTR-0091,2026-01-21,1,4,Q1,Winter,Chandigarh,Kirana Store,RTL-0002,Amit Singh,teenagers,makhana,Customer asked for something that tastes like a shawarma. Retailer didn't know what to say.,flavor_trend,fusion_flavor_adoption
CTR-0092,2025-01-22,1,4,Q1,Winter,Chandigarh,Convenience Store,RTL-0010,Rajesh Gupta,college students,chips,Owner said fusion flavor trial packs sell out first. Regular masala stays on shelf longer.,flavor_trend,fusion_flavor_adoption
CTR-0093,2025-10-13,10,42,Q4,Festive,Chennai,Petrol-pump Store,RTL-0065,Anjali Rao,urban youth,roasted nuts,Working crowd asking for matcha and black pepper flavor. Seen on imported snack brand.,flavor_trend,fusion_flavor_adoption
CTR-0094,2025-01-02,1,1,Q1,New Year,Mumbai,Convenience Store,RTL-0003,Arjun Mehta,college students,popcorn,Retailer told me customers who travel to Bangalore and Mumbai come back asking for fusion.,flavor_trend,fusion_flavor_adoption
CTR-0095,2025-02-03,2,6,Q1,Winter,Coimbatore,Medical Store,RTL-0017,Deepa Nair,college students,makhana,"Owner near IT company said expat employees introduced fusion snacks, now locals want same.",flavor_trend,fusion_flavor_adoption
CTR-0096,2025-04-29,4,18,Q2,Summer,Indore,Hypermarket,RTL-0005,Harish Babu,urban youth,puffs,Customer wanted a chips that tastes like their favorite Chinese restaurant dish. Very specific.,flavor_trend,fusion_flavor_adoption
CTR-0097,2026-01-28,1,5,Q1,Winter,Coimbatore,Supermarket,RTL-0017,Deepa Nair,teenagers,popcorn,"Retailer said fusion snack brand entered his market, customers comparing with our offering.",flavor_trend,fusion_flavor_adoption
CTR-0098,2025-05-11,5,19,Q2,Summer,Mumbai,Departmental Store,RTL-0015,Meena Reddy,working professionals,wafers,Owner told me young professionals treat snacking as a food experience not just hunger fix.,flavor_trend,fusion_flavor_adoption
CTR-0099,2025-05-18,5,20,Q2,Summer,Lucknow,Wholesale Depot,RTL-0080,Amit Singh,working professionals,roasted nuts,Customer asked for lime and chili flavor with a hint of coconut. Full recipe in a snack ask.,flavor_trend,fusion_flavor_adoption
CTR-0100,2025-05-27,5,22,Q2,Summer,Bangalore,Hypermarket,RTL-0023,Priya Sharma,working professionals,makhana,Retailer near food festival area said event exposed customers to global flavors. Now they want it.,flavor_trend,fusion_flavor_adoption
CTR-0101,2025-04-13,4,15,Q2,Post-Festive,Coimbatore,Supermarket,RTL-0017,Deepa Nair,teenagers,makhana,Owner said customers returning from abroad always ask for international style flavors.,flavor_trend,fusion_flavor_adoption
CTR-0102,2025-02-09,2,6,Q1,Winter,Lucknow,General Store,RTL-0050,Naresh Yadav,college students,roasted nuts,Retailer told me fusion flavor is not a metro thing anymore. Even here demand is real.,flavor_trend,fusion_flavor_adoption
CTR-0103,2025-02-08,2,6,Q1,Winter,Chandigarh,Petrol-pump Store,RTL-0052,Ravi Kumar,homemakers,puffs,Kids asking for cheesy dip flavor specifically. Saw it in cartoon ad and came asking.,buying_behavior_change,western_snack_influence
CTR-0104,2025-03-09,3,10,Q1,Holi,Patna,Medical Store,RTL-0068,Rajesh Gupta,school children,wafers,Retailer said cheese puffs now outselling traditional namkeen in his store. Big shift.,buying_behavior_change,western_snack_influence
CTR-0105,2026-04-05,4,14,Q2,Post-Festive,Bhubaneswar,College Canteen,RTL-0076,Rekha Pillai,college students,roasted nuts,Owner told me multiplex opened nearby and now caramel popcorn demand has jumped.,buying_behavior_change,western_snack_influence
CTR-0106,2025-12-15,12,51,Q4,Post-Festive,Indore,Kirana Store,RTL-0043,Sunita Verma,homemakers,roasted nuts,Mothers buying nachos and dips for home parties. Said children demand western style now.,buying_behavior_change,western_snack_influence
CTR-0107,2025-07-12,7,28,Q3,Monsoon,Coimbatore,Kirana Store,RTL-0017,Deepa Nair,homemakers,wafers,"Retailer frustrated - kids rejecting bhujia, asking for ranch-flavored chips instead.",buying_behavior_change,western_snack_influence
CTR-0108,2026-03-06,3,10,Q1,Holi,Bhopal,General Store,RTL-0082,Harish Babu,school children,wafers,American fast food outlet nearby changed things. Customers want cheese-burst everything.,buying_behavior_change,western_snack_influence
CTR-0109,2025-05-10,5,19,Q2,Summer,Surat,General Store,RTL-0042,Suresh Patel,school children,popcorn,Owner said 60% of children's requests now western-style snacks. Traditional losing share.,buying_behavior_change,western_snack_influence
CTR-0110,2025-02-09,2,6,Q1,Winter,Nagpur,Petrol-pump Store,RTL-0038,Vikram Iyer,school children,rice crisps,Birthday party orders for chips and dips increased. Not traditional mixture anymore.,buying_behavior_change,western_snack_influence
CTR-0111,2025-01-28,1,5,Q1,Winter,Nagpur,General Store,RTL-0047,Meena Reddy,homemakers,namkeen,Customers asking for pretzels and peanut butter snacks. Never stocked these before.,buying_behavior_change,western_snack_influence
CTR-0112,2025-06-11,6,24,Q2,Monsoon,Lucknow,Hypermarket,RTL-0080,Amit Singh,teenagers,makhana,Netflix watching culture - owner said people want popcorn and nachos to eat while watching.,buying_behavior_change,western_snack_influence
CTR-0113,2026-04-13,4,16,Q2,Post-Festive,Pune,General Store,RTL-0090,Suresh Patel,college students,bhujia,Kids showing parents pictures of western snacks from YouTube. Parents buying it.,buying_behavior_change,western_snack_influence
CTR-0114,2025-08-19,8,34,Q3,Monsoon,Vizag,General Store,RTL-0034,Anjali Rao,teenagers,bhujia,Retailer near school said lunch box snacks are all western style now. No chakli or mathri.,buying_behavior_change,western_snack_influence
CTR-0115,2025-03-07,3,10,Q1,Holi,Bhubaneswar,Wholesale Depot,RTL-0073,Kavita Joshi,teenagers,makhana,Customer asked for the cheesy one without knowing brand name. That's how aware they are.,buying_behavior_change,western_snack_influence
CTR-0116,2025-05-11,5,19,Q2,Summer,Kolkata,College Canteen,RTL-0019,Rekha Pillai,homemakers,popcorn,Owner said traditional mixture buyers are old generation. New customers want western.,buying_behavior_change,western_snack_influence
CTR-0117,2025-12-09,12,50,Q4,Post-Festive,Jaipur,Hypermarket,RTL-0021,Ravi Kumar,homemakers,makhana,"Children influencing household purchases - if kid wants cheese puffs, parent buys it.",buying_behavior_change,western_snack_influence
CTR-0118,2025-09-14,9,37,Q3,Monsoon,Surat,Kirana Store,RTL-0060,Arjun Mehta,school children,puffs,Retailer told me sweet-salty combination snacks from US inspired brands selling fast.,buying_behavior_change,western_snack_influence
CTR-0119,2025-08-07,8,32,Q3,Monsoon,Indore,College Canteen,RTL-0044,Sunita Verma,teenagers,roasted nuts,Owner near playschool said parents buying branded western snacks as tiffin snacks now.,buying_behavior_change,western_snack_influence
CTR-0120,2025-10-12,10,41,Q4,Festive,Chennai,Supermarket,RTL-0054,Priya Sharma,teenagers,wafers,Streaming platforms showing western food culture - owner sees direct impact on sales.,buying_behavior_change,western_snack_influence
CTR-0121,2025-04-14,4,16,Q2,Post-Festive,Delhi,College Canteen,RTL-0058,Naresh Yadav,college students,rice crisps,Customers asking for dipping sauces along with chips. Western eating style clear.,buying_behavior_change,western_snack_influence
CTR-0122,2025-04-18,4,16,Q2,Post-Festive,Hyderabad,Petrol-pump Store,RTL-0036,Anjali Rao,homemakers,makhana,Retailer said brand with English-sounding name sells better even if taste is similar.,buying_behavior_change,western_snack_influence
